f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,kategori
-0.1446706,-0.13392226,0.6257076,0.18803878,0.2212352,-0.90747,0.09504617,-0.7070078,-0.19659239,-0.52357244,-0.79699737,-0.14353198,-0.039630756,-0.82569456,-0.0028872322,0.89875185,-0.4129461,-0.08624858,-0.13775855,0.21376434,-0.0050973305,0.6228702,0.009590245,-0.16092141,0.5991447,-0.09851415,0.873182,0.3390118,0.2589443,-0.054547854,-0.7753013,0.12088412,0.1522738,0.18492596,-1.3468047,-0.19654267,0.6095858,-0.22949585,0.8064965,-0.045619328,-0.43774715,-0.33266732,0.45861217,0.36066175,-0.20500158,0.2319784,0.50951874,0.17353444,-0.32456297,-0.013480394,0.2917019,0.7399287,-0.31641206,-0.28599495,0.51339203,-0.45758897,Megapolitan
-0.17537023,-0.07299274,0.58372885,0.25912592,0.239359,-0.74183124,0.108799845,-0.7951815,-0.25697738,-0.5438629,-0.72390515,-0.10835067,-0.066487834,-0.80274975,-0.064748116,0.84229034,-0.35854656,0.046690907,-0.034102086,0.1332689,0.03380591,0.5541906,0.008264876,-0.28209385,0.5505289,-0.16343284,0.8650443,0.36955047,0.195653,0.08237779,-0.7612274,0.2077852,0.24951506,0.18854986,-1.3516126,-0.17237659,0.555436,-0.26132777,0.813639,0.02127974,-0.39406526,-0.33097103,0.51447254,0.3423279,-0.033643693,0.17423742,0.52881914,0.13392775,-0.16567582,0.039458826,0.2841238,0.692609,-0.3129592,-0.18087547,0.47851613,-0.5540148,Nasional
-0.13507551,-0.10511704,0.6077933,0.19073091,0.23928103,-0.82153744,0.04659235,-0.7356582,-0.23476964,-0.5614101,-0.66900927,-0.16537754,-0.025227465,-0.7634262,-0.08574114,0.85883427,-0.3942852,-0.08841716,-0.079097055,0.18227497,-0.04138288,0.5129995,0.035427004,-0.24138962,0.5420272,-0.12730852,0.8693742,0.25214228,0.19834146,-0.028570969,-0.7492799,0.15237755,0.15144162,0.19259903,-1.2905298,-0.18126415,0.5450882,-0.16111644,0.797572,0.037326947,-0.4042674,-0.31205952,0.4441556,0.31895554,-0.13332538,0.17612231,0.49702546,0.15447055,-0.2708137,0.04465094,0.29238984,0.7361528,-0.27354273,-0.2992645,0.56475884,-0.47208133,Money
0.03529306,0.2900325,1.2673675,-0.2610576,0.38850257,-1.4694624,-0.48994815,-0.5894658,0.02233841,-1.1923178,-0.5152251,-0.76939195,0.09219487,-0.9805031,-0.33670023,0.9769716,-0.86928874,-0.9496168,-0.39037183,0.41012856,-1.0268154,-0.093412966,0.18666837,-0.50430393,0.40579435,-0.12330155,1.5296004,-1.1959178,0.42520913,-0.34940398,-0.60234404,0.28055423,-0.47339344,0.50378746,-1.2429565,-0.45531735,0.27496988,0.52721304,1.0152626,0.68439317,-0.4659498,-0.034560837,0.33897835,-0.13036431,-0.19987188,-0.05895367,0.90293556,-0.19623505,-0.56142175,-0.0737352,0.3753954,1.7061757,-0.3384394,-1.2136842,1.2905822,-0.3855968,Bola
-0.16922966,-0.053517275,0.61455667,0.19658636,0.15621111,-0.864582,0.36789104,-0.87076664,-0.14244556,-0.33562708,-0.6957086,-0.14379784,-0.17822006,-0.84606063,0.04384164,0.9712719,-0.30230734,0.14125103,-0.15973428,0.15427479,0.054615196,0.56107324,0.081825174,-0.20117955,0.7275327,-0.20505907,1.1105297,0.4996643,0.41258714,0.024234334,-0.7703807,0.1661879,0.461618,0.24069785,-1.5727305,-0.23146057,0.5990225,-0.2791162,0.8742999,-0.288304,-0.3526674,-0.27087906,0.50169265,0.4386404,-0.036427557,0.19930322,0.6331362,0.030895011,-0.15537407,-0.012793644,0.45593223,0.72207415,-0.5612233,-0.20106074,0.43337774,-0.5786672,Megapolitan
-0.09398208,-0.035308544,0.5700037,0.15742016,0.21682455,-0.86720884,0.1524855,-0.70391667,-0.13697296,-0.42314187,-0.5740179,-0.14781705,-0.078766696,-0.81281,0.0034116518,0.78270626,-0.33678895,0.024663124,-0.1323353,0.17047058,0.011851047,0.49143565,0.079728186,-0.22437452,0.6433453,-0.13723738,0.90259284,0.3915127,0.32165828,0.04595143,-0.73026705,0.13563652,0.2645841,0.24881685,-1.3316453,-0.16385235,0.49233708,-0.24490808,0.77283597,-0.06564729,-0.3711855,-0.27967963,0.48120978,0.28586075,-0.07914227,0.17977507,0.55855125,0.08380654,-0.1904338,0.034689136,0.3157773,0.62981147,-0.51181215,-0.25347376,0.5069425,-0.51591355,Regional
-0.08389564,-0.050186075,0.6943424,0.06178069,0.2601731,-1.0703057,0.04648373,-0.5939754,-0.05189778,-0.5414636,-0.6786029,-0.21389922,-0.014279231,-0.85059595,-0.023976693,0.8589806,-0.45322615,-0.20269233,-0.22981374,0.2631851,-0.123543695,0.49183452,0.057537314,-0.1250128,0.60329455,-0.0839602,0.95602405,0.19225647,0.34297907,-0.063100964,-0.6681712,0.09722846,0.07939951,0.2858915,-1.3013542,-0.19565828,0.48682034,-0.15523249,0.80395967,0.029609436,-0.43956438,-0.2733938,0.45900336,0.26567218,-0.19640085,0.18036295,0.5867215,0.0992997,-0.3521589,-0.06843796,0.323265,0.7885957,-0.45026296,-0.43701813,0.60624015,-0.41815874,Megapolitan
-0.20056988,-0.11647785,0.61636865,0.25536466,0.18440287,-0.9099806,0.18319574,-0.7766023,-0.23321423,-0.53006834,-1.0156898,-0.029389815,-0.11720128,-0.8519858,0.002365238,0.97765946,-0.41231525,-0.042709842,-0.16567566,0.22999953,0.08862074,0.73756766,-0.055220988,-0.12514375,0.5345581,-0.100402325,0.8799239,0.37192503,0.167862,-0.0018562065,-0.7362076,0.17866713,0.19778864,0.13225149,-1.4344546,-0.1837538,0.6333165,-0.2903956,0.82786494,-0.038636655,-0.42065722,-0.3585457,0.49272388,0.4240054,-0.20859417,0.22634579,0.5363879,0.16599484,-0.30471742,-0.1480018,0.3836563,0.7910944,-0.27952147,-0.21640792,0.3836287,-0.47970614,Nasional
-0.20065603,-0.25449333,0.61663264,0.40446782,0.26090506,-0.9373034,0.20388038,-0.876439,-0.40650097,-0.641894,-1.1656024,0.09448081,-0.04019741,-0.97909164,-0.008926995,1.1279107,-0.47881034,0.08397844,-0.05451197,0.24473725,0.26681778,1.0028995,-0.096891575,-0.10941686,0.6845006,-0.0409286,0.810009,0.7531991,0.06930594,0.14483663,-0.9832626,0.15759538,0.19700411,0.12376161,-1.6443303,-0.08380701,0.7980588,-0.5869164,0.9591994,0.004432742,-0.5773304,-0.5460656,0.6999138,0.50099504,-0.20524284,0.34642774,0.5701,0.36477888,-0.32454094,-0.08330156,0.34156016,0.6868196,-0.23083083,-0.03107255,0.38757735,-0.5678113,Nasional
-0.12329565,-0.057552576,0.5814058,0.18211325,0.19745882,-0.803272,0.022687497,-0.6718923,-0.23095435,-0.56294465,-0.78073406,-0.098812014,-0.02153832,-0.7287462,-0.057637908,0.8622583,-0.40504047,-0.12746586,-0.12012931,0.21478784,-0.03461438,0.53662616,-0.016861865,-0.18577088,0.4475412,-0.12316303,0.82069415,0.19424097,0.12452365,-0.022931552,-0.6472922,0.16954936,0.084237255,0.16755241,-1.1972568,-0.19439293,0.49415198,-0.17435224,0.73696715,0.08492334,-0.3880388,-0.30569044,0.4174421,0.29295307,-0.15507583,0.16806775,0.50852674,0.17450723,-0.28358942,-0.071897976,0.29863587,0.7591291,-0.2086668,-0.27877668,0.46772757,-0.39630678,Nasional
